Student_ID,Student_Name,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5
1,Student_1,107,106,105,104,101
2,Student_2,103,102,105,106,101
3,Student_3,106,101,102,103,104
4,Student_4,105,107,103,102,106
5,Student_5,101,107,103,104,102
6,Student_6,101,103,102,104,107
7,Student_7,106,103,101,102,107
8,Student_8,107,102,106,101,103
9,Student_9,102,104,101,105,103
10,Student_10,106,103,104,101,107
11,Student_11,105,104,106,101,107
12,Student_12,102,104,107,106,103
13,Student_13,106,104,105,107,103
14,Student_14,104,102,106,105,101
15,Student_15,103,101,104,106,105
16,Student_16,106,107,102,103,104
17,Student_17,106,104,102,107,101
18,Student_18,103,104,102,106,101
19,Student_19,101,102,106,103,105
20,Student_20,106,105,101,104,107
